regcode;sepa;name;name_before_quotes;name_in_quotes;name_after_quotes;without_quotes;regtype;regtype_text;type;type_text;registered;terminated;closed;address;index;addressid;region;city;atvk;reregistration_term
41503003419;LV12ZZZ41503003419;"Sabiedrība ar ierobežotu atbildību Daugavpils pilsētas firma ""SANITA""";Sabiedrība ar ierobežotu atbildību Daugavpils pilsētas firma;SANITA;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;1992-03-11;; ;Daugavpils, Lāčplēša iela 30 - 1;5401;116655087;0;100003011;0050000;
40008091243;LV86ZZZ40008091243;"""Starptautiskās izglītības konsultanti""";"";Starptautiskās izglītības konsultanti;"";0;B;Biedrību un nodibinājumu reģistrs;BDR;Biedrība;2005-05-23;; ;Rīga, Elizabetes iela 10B - 2;1010;111197328;0;100003003;0010000;
40103672604;LV76ZZZ40103672604;"Sabiedrība ar ierobežotu atbildību ""AVCeltnieks""";Sabiedrība ar ierobežotu atbildību;AVCeltnieks;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2013-05-20;2019-01-14;L;Olaines nov., Olaine, Zeiferta iela 16 - 8;2114;114923467;100016077;100003567;0801009;
40008070646;LV07ZZZ40008070646;"Sporta klubs ""B-VIRUS""";Sporta klubs;B-VIRUS;"";0;B;Biedrību un nodibinājumu reģistrs;BDR;Biedrība;2002-10-22;; ;Rīga, Vidrižu iela 6 - 2;1006;113642662;0;100003003;0010000;
40103752558;LV53ZZZ40103752558;"Sabiedrība ar ierobežotu atbildību ""AISH Art""";Sabiedrība ar ierobežotu atbildību;AISH Art;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2014-01-28;2017-05-17;L;Rīga, Krišjāņa Valdemāra iela 33 - 42;1010;113044952;0;100003003;0010000;
40003297504;LV59ZZZ40003297504;"Sabiedrība ar ierobežotu atbildību firma ""BARN""";Sabiedrība ar ierobežotu atbildību firma;BARN;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;1996-06-10;2017-05-17;L;Rīga, Ģertrūdes iela 99 k-1 - 30;1009;111243306;0;100003003;0010000;
40003978355;LV37ZZZ40003978355;"Sabiedrība ar ierobežotu atbildību ""BI services""";Sabiedrība ar ierobežotu atbildību;BI services;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2007-12-14;2017-05-17;L;Rīga, Ādmiņu iela 4;1009;101812572;0;100003003;0010000;
40003891865;LV89ZZZ40003891865;"Sabiedrība ar ierobežotu atbildību ""Biznesa centrs Lidosta""";Sabiedrība ar ierobežotu atbildību;Biznesa centrs Lidosta;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2007-01-24;2017-05-17;L;"Mārupes nov., Lidosta ""Rīga"", Ziemeļu iela 12";1053;105393734;100016028;0;0807600;
40008091205;;"""Aktīva dzīve""";"";Aktīva dzīve;"";0;B;Biedrību un nodibinājumu reģistrs;BDR;Biedrība;2005-05-23;2013-12-14;L;Daugavpils, Alejas iela 68-27;5400;116715147;0;100003011;0050000;
40003766689;LV70ZZZ40003766689;"SIA ""BUTIK""";SIA;BUTIK;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2005-09-07;2017-05-17;L;Olaines nov., Olaines pag., Jaunolaine, Pionieru iela 30;2127;101313980;100016077;0;0808000;
40003635902;LV34ZZZ40003635902;"Sabiedrība ar ierobežotu atbildību ""BŪVFIRMA ARGUS NAMI""";Sabiedrība ar ierobežotu atbildību;BŪVFIRMA ARGUS NAMI;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2003-06-27;2017-05-17;L;"Stopiņu nov., ""Kalsoni"" I";2130;100015460;100015460;0;0809600;
50103677181;LV13ZZZ50103677181;"SIA ""Minitor""";SIA;Minitor;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2013-05-31;2017-05-17;L;Liepāja, Lāčplēša iela 25 - 8;3401;115205860;0;100003044;0170000;
41502030903;"";"IK ""STENS G.""";IK;STENS G.;"";0;K;Komercreģistrs;IK;Individuālais komersants;2009-09-01;2012-04-03;L;Krāslavas nov., Skaistas pag., Skaista, Liepu iela 9;5671;101151602;100015315;0;0600288;
40003839569;LV52ZZZ40003839569;"Sabiedrība ar ierobežotu atbildību ""Cita Dimensija""";Sabiedrība ar ierobežotu atbildību;Cita Dimensija;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2006-07-10;2017-05-17;L;Ķekavas nov., Ķekavas pag., Ķekava, Nākotnes iela 36/14-85;2123;100390300;100015950;0;0807000;
51502031031;"";"IK ""Kurs-D""";IK;Kurs-D;"";0;K;Komercreģistrs;IK;Individuālais komersants;2009-10-08;2012-05-17;L;Daugavpils, Raiņa iela 12-8;5401;116628357;0;100003011;0050000;
44102024612;LV34ZZZ44102024612;"""MAGNUM 1"" individuālais komersants";"";MAGNUM 1;individuālais komersants;0;K;Komercreģistrs;IK;Individuālais komersants;2004-09-21;; ;Alūksnes nov., Alūksne, Jāņkalna iela 49 - 6;4301;115308502;100015694;100003108;0360100;
40008093085;LV16ZZZ40008093085;"Politisko partiju apvienība ""Saskaņas Centrs""";Politisko partiju apvienība;Saskaņas Centrs;"";0;P;Politisko partiju reģistrs;PPA;Politisko partiju apvienība;2005-07-29;; ;Rīga, Jēkaba iela 16-212;1811;105871206;0;100003003;0010000;
